i,j1,j2,y1,y2,t11,t12,t21,t22,g1,g2,w1,w2,m
332,139,139,-0.30310158772636947,-0.30310158772636947,1,2,1,2,1,1,2,2,0
333,804,804,1.55504104169837,1.55504104169837,1,2,1,2,1,1,2,2,0
334,683,683,1.0211176225850085,1.0211176225850085,1,2,1,2,1,1,2,2,0
335,169,169,-2.27995491125165,-2.27995491125165,1,2,1,2,5,5,2,2,0
336,408,408,-0.9431666224704249,-0.9431666224704249,1,2,1,2,9,9,2,2,0
337,915,915,-0.22307730999036499,-0.22307730999036499,1,2,1,2,1,1,2,2,0
338,749,85,0.957437022090367,0.20306406136333,1,1,2,2,9,8,1,1,1
339,432,432,0.11297100198440804,0.11297100198440804,1,2,1,2,2,2,2,2,0
340,656,656,-0.120900985172169,-0.120900985172169,1,2,1,2,8,8,2,2,0
341,581,116,1.09047960617694,1.67302096127656,1,1,2,2,1,4,1,1,1
342,296,296,2.2747063178928046,2.2747063178928046,1,2,1,2,4,4,2,2,0
343,517,517,-0.026570577798156497,-0.026570577798156497,1,2,1,2,2,2,2,2,0
344,987,987,-0.884821396663391,-0.884821396663391,1,2,1,2,5,5,2,2,0
345,892,892,-2.207052166821585,-2.207052166821585,1,2,1,2,2,2,2,2,0
346,246,246,0.6634606965714396,0.6634606965714396,1,2,1,2,9,9,2,2,0
347,192,192,-0.7549650992777606,-0.7549650992777606,1,2,1,2,2,2,2,2,0
348,499,499,-1.38265537584702,-1.38265537584702,1,2,1,2,7,7,2,2,0
349,122,837,0.182098502037225,-0.0286217228858973,1,1,2,2,9,2,1,1,1
350,685,685,-0.4885989562047885,-0.4885989562047885,1,2,1,2,0,0,2,2,0
351,160,160,-2.87137539012533,-2.87137539012533,1,2,1,2,5,5,2,2,0
352,52,99,-0.756406596469324,-1.67179229804056,1,1,2,2,0,3,1,1,1
353,547,547,0.16625873836677565,0.16625873836677565,1,2,1,2,8,8,2,2,0
354,925,925,0.11558904369679494,0.11558904369679494,1,2,1,2,4,4,2,2,0
355,843,843,0.3748374278690205,0.3748374278690205,1,2,1,2,9,9,2,2,0
356,897,575,0.409554506914098,0.543944776996735,1,1,2,2,1,4,1,1,1
357,781,940,0.48260842545418,0.27307039887229,1,1,2,2,4,2,1,1,1
358,886,506,-3.26415520536199,-2.78276605689859,1,1,2,2,3,8,1,1,1
359,976,976,2.83562441253654,2.83562441253654,1,2,1,2,1,1,2,2,0
360,524,524,-1.014114062211471,-1.014114062211471,1,2,1,2,7,7,2,2,0
361,651,651,1.4607685160476551,1.4607685160476551,1,2,1,2,6,6,2,2,0
362,953,953,0.1768409606475225,0.1768409606475225,1,2,1,2,2,2,2,2,0
363,129,453,0.917729289870157,0.468823869212452,1,1,2,2,9,5,1,1,1
364,378,378,1.3748217647092948,1.3748217647092948,1,2,1,2,1,1,2,2,0
365,699,699,-1.59744068202203,-1.59744068202203,1,2,1,2,5,5,2,2,0
366,31,249,1.95585935067121,0.0259731449394435,1,1,2,2,1,7,1,1,1
367,468,468,-0.9073029097686395,-0.9073029097686395,1,2,1,2,9,9,2,2,0
368,895,895,1.47121399591743,1.47121399591743,1,2,1,2,9,9,2,2,0
369,425,425,-1.14102733434382,-1.14102733434382,1,2,1,2,5,5,2,2,0
370,292,292,2.05907918533466,2.05907918533466,1,2,1,2,9,9,2,2,0
371,857,857,-2.213793789745075,-2.213793789745075,1,2,1,2,5,5,2,2,0
372,790,790,0.013810576961003504,0.013810576961003504,1,2,1,2,6,6,2,2,0
373,398,398,0.9544457645895045,0.9544457645895045,1,2,1,2,1,1,2,2,0
374,891,891,-0.9331097861006574,-0.9331097861006574,1,2,1,2,0,0,2,2,0
375,948,948,-0.6960583317893905,-0.6960583317893905,1,2,1,2,8,8,2,2,0
376,103,103,-1.27140445686061,-1.27140445686061,1,2,1,2,7,7,2,2,0
377,760,802,0.449714622853381,-0.152203953020138,1,1,2,2,2,2,1,1,1
378,515,515,0.606911580709115,0.606911580709115,1,2,1,2,1,1,2,2,0
379,239,738,-1.2466212794985,-2.12813006156146,1,1,2,2,2,3,1,1,1
380,566,566,1.087788030294838,1.087788030294838,1,2,1,2,6,6,2,2,0
381,365,365,1.24950729062245,1.24950729062245,1,2,1,2,4,4,2,2,0
382,989,989,0.1597055937075803,0.1597055937075803,1,2,1,2,1,1,2,2,0
383,63,414,-0.385610723880551,-1.84540547477285,1,1,2,2,6,5,1,1,1
384,695,695,1.1865529479811985,1.1865529479811985,1,2,1,2,6,6,2,2,0
385,567,47,0.884944845158679,1.51956207295125,1,1,2,2,9,8,1,1,1
386,426,226,0.74244842233375,1.21497308286436,1,1,2,2,1,9,1,1,1
387,593,361,-0.536846284121577,-1.17472317522566,1,1,2,2,1,2,1,1,1
388,562,562,-0.740867873106037,-0.740867873106037,1,2,1,2,3,3,2,2,0
389,308,308,0.7544830816617281,0.7544830816617281,1,2,1,2,4,4,2,2,0
390,606,606,0.013358947001089,0.013358947001089,1,2,1,2,1,1,2,2,0
391,527,527,-3.302103104105645,-3.302103104105645,1,2,1,2,0,0,2,2,0
392,990,521,1.8422692946348,0.698744788956307,1,1,2,2,6,9,1,1,1
393,766,766,-0.8583296079774515,-0.8583296079774515,1,2,1,2,8,8,2,2,0
394,482,482,-0.4928342763767465,-0.4928342763767465,1,2,1,2,8,8,2,2,0
395,795,364,1.61440026489281,1.23196641803223,1,1,2,2,2,9,1,1,1
396,443,443,-0.725010368448889,-0.725010368448889,1,2,1,2,4,4,2,2,0
397,337,337,0.8214913671809896,0.8214913671809896,1,2,1,2,1,1,2,2,0
398,815,815,-1.0581198637340175,-1.0581198637340175,1,2,1,2,8,8,2,2,0
399,659,659,-0.4600115267720105,-0.4600115267720105,1,2,1,2,8,8,2,2,0
400,609,609,-0.739450276937879,-0.739450276937879,1,2,1,2,3,3,2,2,0
401,276,276,-0.321144968953396,-0.321144968953396,1,2,1,2,6,6,2,2,0
402,138,138,0.6256851410291935,0.6256851410291935,1,2,1,2,6,6,2,2,0
403,867,867,-0.2049070587424373,-0.2049070587424373,1,2,1,2,3,3,2,2,0
404,224,224,0.555595318899125,0.555595318899125,1,2,1,2,2,2,2,2,0
405,3,3,-2.276564595574075,-2.276564595574075,1,2,1,2,0,0,2,2,0
406,423,423,0.19482878190123976,0.19482878190123976,1,2,1,2,8,8,2,2,0
407,870,870,0.996247420575066,0.996247420575066,1,2,1,2,9,9,2,2,0
408,713,713,-0.545700280591661,-0.545700280591661,1,2,1,2,2,2,2,2,0
409,85,85,0.03237290619501895,0.03237290619501895,1,2,1,2,8,8,2,2,0
410,292,156,0.769738558604316,0.0291929521375519,1,1,2,2,9,8,1,1,1
411,224,224,0.35973256140321397,0.35973256140321397,1,2,1,2,2,2,2,2,0
412,522,522,0.046777957511088486,0.046777957511088486,1,2,1,2,2,2,2,2,0
413,844,192,0.13185543420228,0.21509214748615,1,1,2,2,1,2,1,1,1
414,550,550,-0.7451890889196905,-0.7451890889196905,1,2,1,2,8,8,2,2,0
415,870,870,-2.4198264886961,-2.4198264886961,1,2,1,2,9,9,2,2,0
416,524,280,-0.62054075989185,-0.922596253088906,1,1,2,2,7,0,1,1,1
417,989,989,0.7977069033367875,0.7977069033367875,1,2,1,2,1,1,2,2,0
418,445,445,0.23942897319561685,0.23942897319561685,1,2,1,2,2,2,2,2,0
419,558,558,-0.19787480527871795,-0.19787480527871795,1,2,1,2,9,9,2,2,0
420,362,362,1.654271912273395,1.654271912273395,1,2,1,2,8,8,2,2,0
421,213,213,0.731066968423753,0.731066968423753,1,2,1,2,9,9,2,2,0
422,816,816,0.12372125693941957,0.12372125693941957,1,2,1,2,9,9,2,2,0
423,449,691,2.28303268838526,1.82187483792584,1,1,2,2,6,2,1,1,1
424,20,20,-0.48006318889994803,-0.48006318889994803,1,2,1,2,1,1,2,2,0
425,554,554,-0.013399521839278006,-0.013399521839278006,1,2,1,2,4,4,2,2,0
426,955,955,1.797606172385595,1.797606172385595,1,2,1,2,7,7,2,2,0
427,436,260,0.237006621694099,-0.868885992349597,1,1,2,2,1,7,1,1,1
428,787,787,2.26535717831419,2.26535717831419,1,2,1,2,9,9,2,2,0
429,476,476,-1.3798058454069548,-1.3798058454069548,1,2,1,2,2,2,2,2,0
430,720,720,1.075426012297739,1.075426012297739,1,2,1,2,4,4,2,2,0
431,480,480,0.659756767460444,0.659756767460444,1,2,1,2,4,4,2,2,0
432,853,363,0.162387282341272,0.461235323862527,1,1,2,2,8,8,1,1,1
433,734,734,-0.6094686500364275,-0.6094686500364275,1,2,1,2,9,9,2,2,0
434,448,448,0.163627324694164,0.163627324694164,1,2,1,2,2,2,2,2,0
435,782,384,-1.83900269776144,-1.57107264770383,1,1,2,2,5,8,1,1,1
436,984,984,0.34451632393616805,0.34451632393616805,1,2,1,2,2,2,2,2,0
437,225,225,0.6664384869008315,0.6664384869008315,1,2,1,2,2,2,2,2,0
438,176,176,-1.573684422644285,-1.573684422644285,1,2,1,2,9,9,2,2,0
439,188,302,1.34357357217074,1.56034657067996,1,1,2,2,8,1,1,1,1
440,52,52,-2.98140895939712,-2.98140895939712,1,2,1,2,0,0,2,2,0
441,945,198,0.60286598942463,0.476503792768757,1,1,2,2,9,4,1,1,1
442,653,653,1.197104815493633,1.197104815493633,1,2,1,2,1,1,2,2,0
443,59,59,-0.2922857853100255,-0.2922857853100255,1,2,1,2,5,5,2,2,0
444,31,116,-0.0357765515870952,-0.565485593401569,1,1,2,2,1,4,1,1,1
445,391,391,-0.260173680820706,-0.260173680820706,1,2,1,2,3,3,2,2,0
446,520,520,-0.08861276591248056,-0.08861276591248056,1,2,1,2,7,7,2,2,0
447,114,114,-0.035111380160431575,-0.035111380160431575,1,2,1,2,5,5,2,2,0
448,380,380,-2.17465906312579,-2.17465906312579,1,2,1,2,3,3,2,2,0
449,21,21,-2.386854777273385,-2.386854777273385,1,2,1,2,5,5,2,2,0
450,973,973,1.8131253782894698,1.8131253782894698,1,2,1,2,4,4,2,2,0
451,244,782,0.790461736798733,0.253074648899496,1,1,2,2,9,5,1,1,1
452,169,169,0.29236672101396277,0.29236672101396277,1,2,1,2,5,5,2,2,0
453,637,637,-0.0016280599773079996,-0.0016280599773079996,1,2,1,2,8,8,2,2,0
454,12,12,0.08277210549227348,0.08277210549227348,1,2,1,2,3,3,2,2,0
455,457,457,-2.87307866538274,-2.87307866538274,1,2,1,2,8,8,2,2,0
456,287,766,0.506879289150089,1.11327316774846,1,1,2,2,3,8,1,1,1
457,869,869,-0.4278759402374765,-0.4278759402374765,1,2,1,2,3,3,2,2,0
458,53,53,-0.7130534017662356,-0.7130534017662356,1,2,1,2,5,5,2,2,0
459,326,326,-0.3072392699311765,-0.3072392699311765,1,2,1,2,8,8,2,2,0
460,257,257,1.37540268297166,1.37540268297166,1,2,1,2,6,6,2,2,0
461,911,911,-0.5001398622570935,-0.5001398622570935,1,2,1,2,8,8,2,2,0
462,89,89,0.7910661176938669,0.7910661176938669,1,2,1,2,2,2,2,2,0
463,431,431,-0.754662749124681,-0.754662749124681,1,2,1,2,2,2,2,2,0
464,942,942,-0.7288287567286444,-0.7288287567286444,1,2,1,2,9,9,2,2,0
465,779,779,1.4393714887079851,1.4393714887079851,1,2,1,2,8,8,2,2,0
466,189,189,1.1213527287001899,1.1213527287001899,1,2,1,2,4,4,2,2,0
467,933,933,2.1604604099611153,2.1604604099611153,1,2,1,2,4,4,2,2,0
468,783,950,0.716848166188674,0.372917203342133,1,1,2,2,1,2,1,1,1
469,712,279,2.01790503457104,0.313182285294227,1,1,2,2,6,0,1,1,1
470,960,960,2.05111455610096,2.05111455610096,1,2,1,2,2,2,2,2,0
471,50,50,0.0877511031271382,0.0877511031271382,1,2,1,2,4,4,2,2,0
472,967,967,-1.261411194839235,-1.261411194839235,1,2,1,2,9,9,2,2,0
473,762,762,-0.39235041529890147,-0.39235041529890147,1,2,1,2,8,8,2,2,0
474,252,252,0.2253837274082593,0.2253837274082593,1,2,1,2,9,9,2,2,0
475,692,692,0.06987502544357005,0.06987502544357005,1,2,1,2,9,9,2,2,0
476,32,32,2.0483087963856796,2.0483087963856796,1,2,1,2,6,6,2,2,0
477,413,413,0.12878414202901067,0.12878414202901067,1,2,1,2,9,9,2,2,0
478,360,360,0.7421492508980629,0.7421492508980629,1,2,1,2,4,4,2,2,0
479,215,215,0.23073473888429147,0.23073473888429147,1,2,1,2,9,9,2,2,0
480,356,356,-0.1887582256005635,-0.1887582256005635,1,2,1,2,8,8,2,2,0
481,699,699,-0.736282661587313,-0.736282661587313,1,2,1,2,5,5,2,2,0
482,779,984,1.53478819617282,1.41382361161335,1,1,2,2,8,2,1,1,1
483,788,798,0.080105932646445,-0.889707589951497,1,1,2,2,2,5,1,1,1
484,374,254,1.07423633420738,0.279936032230195,1,1,2,2,9,7,1,1,1
485,829,829,0.1924720956287272,0.1924720956287272,1,2,1,2,7,7,2,2,0
486,861,861,0.7178780020768245,0.7178780020768245,1,2,1,2,7,7,2,2,0
487,714,714,-0.8776840893649385,-0.8776840893649385,1,2,1,2,2,2,2,2,0
488,530,530,1.87717132681657,1.87717132681657,1,2,1,2,9,9,2,2,0
489,334,334,0.416269867742107,0.416269867742107,1,2,1,2,4,4,2,2,0
490,728,860,-0.448055311283725,-0.498213008705862,1,1,2,2,3,8,1,1,1
491,575,575,1.41353845094247,1.41353845094247,1,2,1,2,4,4,2,2,0
492,552,149,0.00948616722632845,1.63810137819498,1,1,2,2,7,9,1,1,1
493,374,374,-1.4521781543268149,-1.4521781543268149,1,2,1,2,9,9,2,2,0
494,29,886,-1.36378101200185,-1.15316470908045,1,1,2,2,5,3,1,1,1
495,327,327,-1.4582090699323,-1.4582090699323,1,2,1,2,8,8,2,2,0
496,739,739,-0.133283319138976,-0.133283319138976,1,2,1,2,3,3,2,2,0
497,256,256,-1.012339015854116,-1.012339015854116,1,2,1,2,5,5,2,2,0
498,737,174,-0.099725188645301,-0.712298673070408,1,1,2,2,3,5,1,1,1
499,375,375,1.573175528698545,1.573175528698545,1,2,1,2,1,1,2,2,0
500,236,236,0.543851051903594,0.543851051903594,1,2,1,2,1,1,2,2,0
501,691,557,-1.70800639051207,-1.57135695627233,1,1,2,2,2,7,1,1,1
502,542,542,0.5760908607259535,0.5760908607259535,1,2,1,2,8,8,2,2,0
503,534,534,-0.1411826686986765,-0.1411826686986765,1,2,1,2,5,5,2,2,0
504,402,514,-0.75612651455081,-2.34427288767282,1,1,2,2,1,5,1,1,1
505,613,613,0.01963030906244101,0.01963030906244101,1,2,1,2,9,9,2,2,0
506,258,258,-1.285168613604809,-1.285168613604809,1,2,1,2,7,7,2,2,0
507,418,418,-1.255200180626183,-1.255200180626183,1,2,1,2,1,1,2,2,0
508,265,265,0.133127363654234,0.133127363654234,1,2,1,2,2,2,2,2,0
509,849,884,0.140466056469469,-1.34572277231062,1,1,2,2,4,5,1,1,1
510,276,276,1.003702856200288,1.003702856200288,1,2,1,2,6,6,2,2,0
511,237,857,-0.485172316999841,-0.92371570625966,1,1,2,2,5,5,1,1,1
512,112,112,0.38992888148846205,0.38992888148846205,1,2,1,2,7,7,2,2,0
513,879,207,0.66160376606795,-0.468887799204138,1,1,2,2,8,0,1,1,1
514,133,133,0.340810510946781,0.340810510946781,1,2,1,2,6,6,2,2,0
515,783,783,-0.375102040450694,-0.375102040450694,1,2,1,2,1,1,2,2,0
516,834,834,-0.284725995488633,-0.284725995488633,1,2,1,2,1,1,2,2,0
517,20,20,0.6281827898321265,0.6281827898321265,1,2,1,2,1,1,2,2,0
518,929,193,-1.33892678260482,-1.39619493951379,1,1,2,2,8,9,1,1,1
519,564,564,-0.9526684019525975,-0.9526684019525975,1,2,1,2,7,7,2,2,0
520,883,883,0.8271464019410795,0.8271464019410795,1,2,1,2,7,7,2,2,0
521,756,756,-0.720433156244547,-0.720433156244547,1,2,1,2,3,3,2,2,0
522,29,29,-2.15513539777555,-2.15513539777555,1,2,1,2,5,5,2,2,0
523,502,502,-1.010992689965029,-1.010992689965029,1,2,1,2,7,7,2,2,0
524,145,145,1.046868460009788,1.046868460009788,1,2,1,2,5,5,2,2,0
525,37,37,0.2902706647062375,0.2902706647062375,1,2,1,2,2,2,2,2,0
526,35,35,1.52870310634899,1.52870310634899,1,2,1,2,9,9,2,2,0
527,791,791,-0.04066776569907535,-0.04066776569907535,1,2,1,2,7,7,2,2,0
528,361,833,0.93812121329734,1.11719411882559,1,1,2,2,2,4,1,1,1
529,997,997,-0.7031008475770575,-0.7031008475770575,1,2,1,2,8,8,2,2,0
530,525,525,-0.339940952171569,-0.339940952171569,1,2,1,2,5,5,2,2,0
531,269,269,-0.6981546802514725,-0.6981546802514725,1,2,1,2,2,2,2,2,0
532,942,942,-0.7697430729517349,-0.7697430729517349,1,2,1,2,9,9,2,2,0
533,436,436,0.39871916759207,0.39871916759207,1,2,1,2,1,1,2,2,0
534,387,387,2.3972376731696503,2.3972376731696503,1,2,1,2,9,9,2,2,0
535,319,225,0.512762023073597,0.100491302069618,1,1,2,2,7,2,1,1,1
536,565,565,1.190797386147265,1.190797386147265,1,2,1,2,2,2,2,2,0
537,995,995,1.44802880662041,1.44802880662041,1,2,1,2,6,6,2,2,0
538,299,502,-0.74068063407247,-0.644471091477549,1,1,2,2,9,7,1,1,1
539,29,344,-0.786646364075525,0.902712845141275,1,1,2,2,5,1,1,1,1
540,668,668,-0.970364824909821,-0.970364824909821,1,2,1,2,7,7,2,2,0
541,997,997,-0.619258342042205,-0.619258342042205,1,2,1,2,8,8,2,2,0
542,607,607,0.1873392193260742,0.1873392193260742,1,2,1,2,8,8,2,2,0
543,77,935,-0.587331002993798,-1.39140147810092,1,1,2,2,9,1,1,1,1
544,640,640,1.547167123563725,1.547167123563725,1,2,1,2,4,4,2,2,0
545,9,9,1.38120708050727,1.38120708050727,1,2,1,2,9,9,2,2,0
546,980,6,-0.0264090056814697,-1.02619840515951,1,1,2,2,6,8,1,1,1
547,812,812,-0.16494163532805,-0.16494163532805,1,2,1,2,7,7,2,2,0
548,836,836,2.33500347132267,2.33500347132267,1,2,1,2,2,2,2,2,0
549,625,625,-0.29501701960474347,-0.29501701960474347,1,2,1,2,9,9,2,2,0
550,475,881,1.9273631740222,0.864568298619446,1,1,2,2,6,2,1,1,1
551,117,117,-1.5244612015161851,-1.5244612015161851,1,2,1,2,5,5,2,2,0
552,709,709,1.0822140468374526,1.0822140468374526,1,2,1,2,8,8,2,2,0
553,493,453,1.67416570810503,-0.0873880835321424,1,1,2,2,4,5,1,1,1
554,190,574,1.97334944366924,1.3779604713856,1,1,2,2,9,7,1,1,1
555,470,470,-1.43509161139577,-1.43509161139577,1,2,1,2,2,2,2,2,0
556,976,976,0.02539101785662151,0.02539101785662151,1,2,1,2,1,1,2,2,0
557,909,909,-0.12351862154492971,-0.12351862154492971,1,2,1,2,1,1,2,2,0
558,137,291,-0.326856204165554,0.204853128160259,1,1,2,2,9,9,1,1,1
559,505,980,-0.0030626311234345,0.843117619971014,1,1,2,2,1,6,1,1,1
560,995,995,-0.2727940508678428,-0.2727940508678428,1,2,1,2,6,6,2,2,0
561,669,669,0.39877044248578297,0.39877044248578297,1,2,1,2,2,2,2,2,0
562,260,260,-1.71165562708111,-1.71165562708111,1,2,1,2,7,7,2,2,0
563,455,587,1.1970133819179,1.01772111110087,1,1,2,2,5,7,1,1,1
564,873,433,-1.02160100041275,-2.2068415576182,1,1,2,2,2,7,1,1,1
565,902,902,0.381852026876969,0.381852026876969,1,2,1,2,9,9,2,2,0
566,694,694,0.6837056323519325,0.6837056323519325,1,2,1,2,2,2,2,2,0
567,4,4,-0.14960678111040468,-0.14960678111040468,1,2,1,2,2,2,2,2,0
568,660,280,-0.927852363333365,-1.77576785744995,1,1,2,2,7,0,1,1,1
569,868,868,-0.38280490534151296,-0.38280490534151296,1,2,1,2,3,3,2,2,0
570,682,682,0.5075061835028555,0.5075061835028555,1,2,1,2,7,7,2,2,0
571,140,140,-2.08338654418995,-2.08338654418995,1,2,1,2,5,5,2,2,0
572,549,207,-0.484868456062509,-1.5897495061137,1,1,2,2,9,0,1,1,1
573,315,315,0.3189590635224185,0.3189590635224185,1,2,1,2,8,8,2,2,0
574,365,365,0.463435913902872,0.463435913902872,1,2,1,2,4,4,2,2,0
575,89,89,1.144990064595371,1.144990064595371,1,2,1,2,2,2,2,2,0
576,665,876,0.110961684585636,1.04939122735076,1,1,2,2,3,1,1,1,1
577,728,728,-0.632758103905019,-0.632758103905019,1,2,1,2,3,3,2,2,0
578,251,251,-0.9667107278542224,-0.9667107278542224,1,2,1,2,9,9,2,2,0
579,783,783,0.2739689145069919,0.2739689145069919,1,2,1,2,1,1,2,2,0
580,14,263,0.352918821453826,-0.523837790312643,1,1,2,2,4,8,1,1,1
581,215,614,0.562543304666638,-0.525846782422229,1,1,2,2,9,8,1,1,1
582,777,777,-2.46647924554991,-2.46647924554991,1,2,1,2,5,5,2,2,0
583,403,403,0.7075491835579539,0.7075491835579539,1,2,1,2,1,1,2,2,0
584,85,535,-1.79552715003448,-0.989270460292054,1,1,2,2,8,4,1,1,1
585,875,718,-0.758514388992314,1.01166955495762,1,1,2,2,7,6,1,1,1
586,225,194,0.715132198145203,1.32031613843195,1,1,2,2,2,6,1,1,1
587,435,435,0.06354122217184935,0.06354122217184935,1,2,1,2,1,1,2,2,0
588,630,630,0.9212907398858161,0.9212907398858161,1,2,1,2,4,4,2,2,0
589,783,39,-0.588907874761692,-1.54442918036235,1,1,2,2,1,7,1,1,1
590,522,522,-3.15155477721346,-3.15155477721346,1,2,1,2,2,2,2,2,0
591,99,99,-0.5644924770337165,-0.5644924770337165,1,2,1,2,3,3,2,2,0
592,371,371,0.8519027805158065,0.8519027805158065,1,2,1,2,9,9,2,2,0
593,269,312,0.22989187724457,-0.0435774677773294,1,1,2,2,2,1,1,1,1
594,630,176,1.41356165242794,0.617968476740113,1,1,2,2,4,9,1,1,1
595,445,445,-1.1776653637125474,-1.1776653637125474,1,2,1,2,2,2,2,2,0
596,387,387,0.255621171115268,0.255621171115268,1,2,1,2,9,9,2,2,0
597,437,437,-1.650808625563285,-1.650808625563285,1,2,1,2,1,1,2,2,0
598,377,377,1.3840939539081152,1.3840939539081152,1,2,1,2,9,9,2,2,0
599,801,801,2.19200239683847,2.19200239683847,1,2,1,2,1,1,2,2,0
600,70,396,1.21944233075806,0.72973924918985,1,1,2,2,2,8,1,1,1
601,320,320,0.9394385391393254,0.9394385391393254,1,2,1,2,4,4,2,2,0
602,247,233,0.358306442657353,-0.90861649432338,1,1,2,2,1,2,1,1,1
603,179,682,-1.13172004805686,-1.96636639113836,1,1,2,2,9,7,1,1,1
604,741,741,0.787958047528283,0.787958047528283,1,2,1,2,2,2,2,2,0
605,97,97,0.05996477074555048,0.05996477074555048,1,2,1,2,9,9,2,2,0
606,467,467,-1.089434200414745,-1.089434200414745,1,2,1,2,8,8,2,2,0
607,561,561,-1.0691015071572445,-1.0691015071572445,1,2,1,2,1,1,2,2,0
608,53,304,-0.647409962045445,0.679007071540921,1,1,2,2,5,6,1,1,1
609,375,245,0.318672238357533,0.0992409435463806,1,1,2,2,1,1,1,1,1
610,243,243,-0.39298851228155196,-0.39298851228155196,1,2,1,2,8,8,2,2,0
611,658,340,-1.01555551901843,-1.51143280175019,1,1,2,2,9,7,1,1,1
612,676,676,2.123436673294015,2.123436673294015,1,2,1,2,9,9,2,2,0
613,711,738,0.0248407630675636,-0.475828625841034,1,1,2,2,2,3,1,1,1
614,188,188,0.9294016165653369,0.9294016165653369,1,2,1,2,8,8,2,2,0
615,505,505,-2.25783701010174,-2.25783701010174,1,2,1,2,1,1,2,2,0
616,626,626,-0.9666496554075306,-0.9666496554075306,1,2,1,2,7,7,2,2,0
617,490,828,-0.0952608898133513,-0.256230340960434,1,1,2,2,4,9,1,1,1
618,423,423,-1.085907994787251,-1.085907994787251,1,2,1,2,8,8,2,2,0
619,428,44,2.26552945554626,2.46878338444666,1,1,2,2,1,4,1,1,1
620,304,304,-0.3238734708734855,-0.3238734708734855,1,2,1,2,6,6,2,2,0
621,999,999,0.7849335696373985,0.7849335696373985,1,2,1,2,7,7,2,2,0
622,987,987,-0.10394285605667543,-0.10394285605667543,1,2,1,2,5,5,2,2,0
623,284,284,0.1803965078499905,0.1803965078499905,1,2,1,2,2,2,2,2,0
624,181,181,-0.4396712194791615,-0.4396712194791615,1,2,1,2,8,8,2,2,0
625,884,884,-0.3014195938166333,-0.3014195938166333,1,2,1,2,5,5,2,2,0
626,60,60,0.048113211729801486,0.048113211729801486,1,2,1,2,2,2,2,2,0
627,391,175,-2.06235425520879,-2.05327319535619,1,1,2,2,3,0,1,1,1
628,639,185,-2.74917096461371,-1.08275872845464,1,1,2,2,0,1,1,1,1
629,675,675,2.1201869511631903,2.1201869511631903,1,2,1,2,9,9,2,2,0
630,259,42,-1.01886196456062,-1.3255125044948,1,1,2,2,5,5,1,1,1
631,207,207,-2.879875614914805,-2.879875614914805,1,2,1,2,0,0,2,2,0
632,106,106,1.287314467940845,1.287314467940845,1,2,1,2,6,6,2,2,0
633,777,777,-0.7332959497142121,-0.7332959497142121,1,2,1,2,5,5,2,2,0
634,173,173,-1.73384189177458,-1.73384189177458,1,2,1,2,5,5,2,2,0
635,174,174,-2.3519100633792,-2.3519100633792,1,2,1,2,5,5,2,2,0
636,81,81,0.4794642535392495,0.4794642535392495,1,2,1,2,9,9,2,2,0
637,410,360,1.89986261616229,1.80816344793572,1,1,2,2,6,4,1,1,1
638,328,328,0.2069077315333896,0.2069077315333896,1,2,1,2,1,1,2,2,0
639,46,46,-0.765568658396051,-0.765568658396051,1,2,1,2,2,2,2,2,0
640,504,504,-1.336485943342705,-1.336485943342705,1,2,1,2,3,3,2,2,0
641,678,893,0.16996236956019,0.549683734234628,1,1,2,2,1,4,1,1,1
642,760,760,0.8969287654520005,0.8969287654520005,1,2,1,2,2,2,2,2,0
643,855,855,1.103281585857147,1.103281585857147,1,2,1,2,4,4,2,2,0
644,357,357,-0.37011374397991104,-0.37011374397991104,1,2,1,2,9,9,2,2,0
645,153,555,0.497835620529903,0.742817511219481,1,1,2,2,9,7,1,1,1
646,24,24,-0.7613612850939355,-0.7613612850939355,1,2,1,2,4,4,2,2,0
647,312,779,0.146868866092552,-0.642529008787235,1,1,2,2,1,8,1,1,1
648,265,265,0.285817471967428,0.285817471967428,1,2,1,2,2,2,2,2,0
649,669,669,0.41327814447268696,0.41327814447268696,1,2,1,2,2,2,2,2,0
650,924,603,-3.44918807316021,-2.7691374373953,1,1,2,2,5,5,1,1,1
651,646,646,-0.04701081772318459,-0.04701081772318459,1,2,1,2,2,2,2,2,0
652,912,912,0.45497571571681594,0.45497571571681594,1,2,1,2,8,8,2,2,0
653,109,166,-0.784701379170925,-1.44144657590471,1,1,2,2,8,2,1,1,1
654,753,753,1.32866382441386,1.32866382441386,1,2,1,2,1,1,2,2,0
655,528,512,-1.10728874685593,-1.24275420904841,1,1,2,2,9,7,1,1,1
656,393,393,1.1150139603936884,1.1150139603936884,1,2,1,2,9,9,2,2,0
657,821,821,0.5871406814839455,0.5871406814839455,1,2,1,2,9,9,2,2,0
658,686,28,0.274718561140719,0.994763697059515,1,1,2,2,8,1,1,1,1
659,134,134,-0.160829061730921,-0.160829061730921,1,2,1,2,7,7,2,2,0
660,130,130,0.548742602170952,0.548742602170952,1,2,1,2,8,8,2,2,0
661,272,272,1.96888149293611,1.96888149293611,1,2,1,2,1,1,2,2,0
662,288,288,2.5643441333820602,2.5643441333820602,1,2,1,2,4,4,2,2,0
663,137,137,0.5298577651530685,0.5298577651530685,1,2,1,2,9,9,2,2,0
664,564,293,-1.92408662166361,-1.96632265389421,1,1,2,2,7,9,1,1,1
